title,texto_lemmatizado
Toy Story,"['[', ""'Animation"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ']', 'Led', 'Woody', ',', 'Andy', ""'s"", 'toy', 'live', 'happily', 'room', 'Andy', ""'s"", 'birthday', 'brings', 'Buzz', 'Lightyear', 'onto', 'scene', '.', 'Afraid', 'losing', 'place', 'Andy', ""'s"", 'heart', ',', 'Woody', 'plot', 'Buzz', '.', 'circumstance', 'separate', 'Buzz', 'Woody', 'owner', ',', 'duo', 'eventually', 'learns', 'put', 'aside', 'difference', '.']"
Jumanji,"['[', ""'Adventure"", ""'"", ',', ""'Fantasy"", ""'"", ',', ""'Family"", ""'"", ']', 'sibling', 'Judy', 'Peter', 'discover', 'enchanted', 'board', 'game', 'open', 'door', 'magical', 'world', ',', 'unwittingly', 'invite', 'Alan', '--', 'adult', ""'s"", 'trapped', 'inside', 'game', '26', 'year', '--', 'living', 'room', '.', 'Alan', ""'s"", 'hope', 'freedom', 'finish', 'game', ',', 'prof', 'risky', 'three', 'find', 'running', 'giant', 'rhinoceros', ',', 'evil', 'monkey', 'terrifying', 'creature', '.']"
Grumpier Old Men,"['[', ""'Romance"", ""'"", ',', ""'Comedy"", ""'"", ']', 'family', 'wedding', 'reignites', 'ancient', 'feud', 'next-door', 'neighbor', 'fishing', 'buddy', 'John', 'Max', '.', 'Meanwhile', ',', 'sultry', 'Italian', 'divorcée', 'open', 'restaurant', 'local', 'bait', 'shop', ',', 'alarming', 'local', 'worry', ""'ll"", 'scare', 'fish', 'away', '.', ""'s"", 'le', 'interested', 'seafood', 'cooking', 'hot', 'time', 'Max', '.']"
Waiting to Exhale,"['[', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'Cheated', ',', 'mistreated', 'stepped', ',', 'woman', 'holding', 'breath', ',', 'waiting', 'elusive', '``', 'good', 'man', ""''"", 'break', 'string', 'less-than-stellar', 'lover', '.', 'Friends', 'confidant', 'Vannah', ',', 'Bernie', ',', 'Glo', 'Robin', 'talk', ',', 'determined', 'find', 'better', 'way', 'breathe', '.']"
Father of the Bride Part II,"['[', ""'Comedy"", ""'"", ']', 'George', 'Banks', 'recovered', 'daughter', ""'s"", 'wedding', ',', 'receives', 'news', ""'s"", 'pregnant', '...', 'George', ""'s"", 'wife', ',', 'Nina', ',', 'expecting', '.', 'planning', 'selling', 'home', ',', ""'s"", 'plan', '--', 'like', 'George', '--', 'change', 'arrival', 'grandchild', 'kid', '.']"
Heat,"['[', ""'Action"", ""'"", ',', ""'Crime"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Obsessive', 'master', 'thief', ',', 'Neil', 'McCauley', 'lead', 'top-notch', 'crew', 'various', 'insane', 'heist', 'throughout', 'Los', 'Angeles', 'mentally', 'unstable', 'detective', ',', 'Vincent', 'Hanna', 'pursues', 'without', 'rest', '.', 'man', 'recognizes', 'respect', 'ability', 'dedication', 'even', 'though', 'aware', 'cat-and-mouse', 'game', 'may', 'end', 'violence', '.']"
Sabrina,"['[', ""'Comedy"", ""'"", ',', ""'Romance"", ""'"", ']', 'ugly', 'duckling', 'undergone', 'remarkable', 'change', ',', 'still', 'harbor', 'feeling', 'crush', ':', 'carefree', 'playboy', ',', 'business-focused', 'brother', 'something', 'say', '.']"
Tom and Huck,"['[', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Family"", ""'"", ']', 'mischievous', 'young', 'boy', ',', 'Tom', 'Sawyer', ',', 'witness', 'murder', 'deadly', 'Injun', 'Joe', '.', 'Tom', 'becomes', 'friend', 'Huckleberry', 'Finn', ',', 'boy', 'future', 'family', '.', 'Tom', 'choose', 'honoring', 'friendship', 'honoring', 'oath', 'town', 'alcoholic', 'accused', 'murder', '.', 'Tom', 'Huck', 'go', 'several', 'adventure', 'trying', 'retrieve', 'evidence', '.']"
Sudden Death,"['[', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ',', ""'Thriller"", ""'"", ']', 'International', 'action', 'superstar', 'Jean', 'Claude', 'Van', 'Damme', 'team', 'Powers', 'Boothe', 'Tension-packed', ',', 'suspense', 'thriller', ',', 'set', 'back-drop', 'Stanley', 'Cup', 'game.Van', 'Damme', 'portrays', 'father', 'whose', 'daughter', 'suddenly', 'taken', 'championship', 'hockey', 'game', '.', 'captor', 'demanding', 'billion', 'dollar', 'game', ""'s"", 'end', ',', 'Van', 'Damme', 'frantically', 'set', 'plan', 'motion', 'rescue', 'daughter', 'abort', 'impending', 'explosion', 'final', 'buzzer', '...']"
GoldenEye,"['[', ""'Adventure"", ""'"", ',', ""'Action"", ""'"", ',', ""'Thriller"", ""'"", ']', 'James', 'Bond', 'must', 'unmask', 'mysterious', 'head', 'Janus', 'Syndicate', 'prevent', 'leader', 'utilizing', 'GoldenEye', 'weapon', 'system', 'inflict', 'devastating', 'revenge', 'Britain', '.']"
